,mean_rho,rdr_rho,borda_rho,prefs_rho,anca_rho,mean_top1,rdr_top1,borda_top1,prefs_top1,anca_top1,mean_top2,rdr_top2,borda_top2,prefs_top2,anca_top2,mean_top3,rdr_top3,borda_top3,prefs_top3,anca_top3,rnoise,punrated,pslacker,plurker,enoise,toprated,numraters,numanswers,numratings,propnratings
490,0.576673688451,0.739351980311,0.961977388263,0.753951314195,0.812348649735,0.0,0.0,1.0,0.0,0.0,0.5,0.5,0.5,0.0,0.5,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,0.6666666666666666,0.4,0.7,0.3,0.5,0.5,True,23,18,120,0.30303030303
491,0.925274725275,0.925274725275,0.413725926987,0.89010989011,0.900883242651,0.0,0.0,0.0,1.0,1.0,0.5,0.5,0.0,0.5,1.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.4,0.7,0.3,0.5,0.5,False,17,14,72,0.321428571429
492,0.641279576938,0.692876784278,0.787912689457,0.530714132639,0.350772485289,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.3333333333333333,0.4,0.7,0.6,0.5,0.1,True,13,17,61,0.299019607843
493,0.868421052632,0.694736842105,0.676094104151,0.828070175439,0.767610392362,1.0,1.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,0.4,0.7,0.6,0.5,0.1,False,13,19,59,0.258771929825
494,0.697324143904,0.885924268234,0.833952819988,0.568281953573,0.506560730402,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.3333333333333333,0.6666666666666666,1.0,0.3333333333333333,0.0,0.4,0.7,0.6,0.5,0.5,True,10,17,34,0.222222222222
495,0.922807017544,0.80350877193,0.616872657413,0.808771929825,0.818981932633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4,0.7,0.6,0.5,0.5,False,13,19,72,0.315789473684
496,0.945054945055,0.945054945055,0.960110949552,0.873626373626,0.910592333243,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.5,0.5,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6,0.3,0.3,0.5,0.1,True,19,13,164,0.700854700855
497,0.946428571429,0.946428571429,0.839285714286,0.942857142857,0.953571428571,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.6666666666666666,1.0,0.6666666666666666,0.6,0.3,0.3,0.5,0.1,False,21,15,231,0.77
498,0.837362637363,0.837362637363,0.959296510084,0.828571428571,0.885714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6,0.3,0.3,0.5,0.5,True,23,14,191,0.62012987013
499,0.954545454545,0.954545454545,0.881818181818,0.954545454545,0.945454545455,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.5,1.0,1.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6,0.3,0.3,0.5,0.5,False,18,11,134,0.716577540107
